asset_type,building_key,tier,band,band_alt,legal_kind,n,n_1,n_low,n_mid,n_high,n_top,max_floor,addr1,addr2,addr3,addr4,place
apartment,02d5506edfadb4f2451ab61833c45da9ba03464513cc829fe29b19e38297ef7e,other_urban,le15,le20,dong,197,10,41,89,41,16,15.0,강원특별자치도,춘천시,석사동,,석사동
apartment,02d654a800e2018e69f948bf5c8a67d0ad4c41052dbb01af63939e8c32d58a2d,other_urban,le15,le20,dong,110,10,0,58,17,25,6.0,충청남도,천안시,서북구,불당동,불당동
apartment,02e25b650934c4492ba06b3c13b68f4af949aed02fad9b5cb0625815c53eeaaf,other_urban,le15,le20,dong,251,39,0,88,59,65,5.0,강원특별자치도,동해시,천곡동,,천곡동
apartment,03090d83fa997d573ac436bdfa19ee1af599ee7a565157f4dfd76d3b6245edda,metro,ge26,m21_30,dong,306,5,89,116,84,12,29.0,경기도,의정부시,신곡동,,신곡동
apartment,0330173ddbb199bbeac1c089a23caf455aafc41190fc2f93f83c776ee27cd137,metro,le15,le20,dong,316,20,69,121,85,21,15.0,서울특별시,강남구,수서동,,수서동
apartment,0343501fda666edabae5fd86c1b44273369867686c008b6fb3ed894058cec6a2,metro,le15,le20,dong,219,13,40,95,58,13,15.0,인천광역시,연수구,연수동,,연수동
apartment,034b800ca63c91e57064b3f7cc89e83e9b519d4cdc628c95dd4e0dd71fb2a302,metro,le15,le20,dong,325,18,58,139,86,24,15.0,인천광역시,부평구,갈산동,,갈산동
apartment,035ec386ed0e1580889ce747c31624661da5f7a12f5bb103e8ec002b79783402,other_urban,le15,le20,dong,54,7,11,25,8,3,13.0,전북특별자치도,군산시,나운동,,나운동
apartment,03627e783d1adb71b36a1e8d5a87e00c45b462fd7971b358f8f72d39b255bc23,metro_city,m16_25,m21_30,dong,332,14,70,127,110,11,25.0,부산광역시,연제구,연산동,,연산동
apartment,037dba22ae6bedb8c1efafe8abfea71f6e4a4db0ed045a64cdb106e93893c3d7,metro,le15,le20,dong,291,17,71,121,63,19,15.0,경기도,성남시,수정구,고등동,고등동
apartment,037f5388219478db1b7f05055264a4272c142a13bfbc2746db0a460fe70c2b0d,other_urban,m16_25,m21_30,dong,198,13,47,91,46,1,23.0,경상남도,진주시,망경동,,망경동
apartment,03805caa5f2b05e06f0aaf3a6be10745c39743d044b5417d3895200dc85289f7,other_urban,ge26,m21_30,dong,195,11,44,82,53,5,28.0,경상남도,창원시,성산구,용호동,용호동
