sido_name,sigungu_name,sigungu_code,land_category,region_type,direction_large,delta_median_large,direction_tiny,n,p90_p50,population,urban_share,median_unit_price,direction_within,delta_median_within,ci_lo_within,ci_hi_within,within_vs_cell,n_dongs_both,within_reason
경기도,시흥시,41390,대,cap_city,higher,0.3012,neutral,478,3.5402,515032,1.0,227.15,higher,0.3374,0.1344,0.6324,same,12,
경기도,의왕시,41430,전,cap_city,neutral,-0.0207,skip,222,4.0921,160370,1.0,90.0,neutral,-0.0526,-0.3441,0.3027,same,9,
경기도,하남시,41450,답,cap_city,lower,-0.2063,neutral,254,4.2258,327939,1.0,96.75,neutral,-0.162,-0.4554,0.0442,to_neutral,9,
경기도,하남시,41450,대,cap_city,higher,1.6121,lower,221,6.4206,327939,1.0,416.7,higher,1.0925,0.5721,2.0695,same,5,
경기도,하남시,41450,전,cap_city,lower,-0.4098,higher,397,3.3817,327939,1.0,101.1,lower,-0.3829,-0.5939,-0.2467,same,11,
경기도,용인시 처인구,41461,답,cap_city,lower,-0.51,higher,3552,3.647,260589,0.7925,34.6,lower,-0.51,-0.5584,-0.4565,same,67,
경기도,용인시 처인구,41461,대,cap_city,neutral,0.1113,higher,1472,2.9927,260589,0.9973,75.1,neutral,0.0985,-0.1524,0.2468,same,57,
경기도,용인시 처인구,41461,전,cap_city,lower,-0.2612,higher,3325,4.0232,260589,0.9777,42.5,lower,-0.2559,-0.3341,-0.0858,same,76,
경기도,용인시 기흥구,41463,답,cap_city,neutral,-0.0883,neutral,239,6.7323,435048,1.0,104.7,neutral,-0.1294,-0.3591,0.0937,same,10,
경기도,용인시 기흥구,41463,대,cap_city,neutral,0.1367,neutral,406,3.6466,435048,1.0,200.8,neutral,0.1536,-0.159,0.5648,same,14,
경기도,용인시 기흥구,41463,전,cap_city,lower,-0.3979,neutral,242,5.4551,435048,1.0,115.8,lower,-0.3723,-0.534,-0.021,same,8,
경기도,용인시 수지구,41465,대,cap_city,neutral,0.1254,neutral,303,2.5648,374094,1.0,176.9,neutral,-0.0232,-0.248,0.3992,same,5,
경기도,파주시,41480,답,cap_city,lower,-0.2253,higher,5376,3.306,526004,0.6181,12.5,lower,-0.1818,-0.224,-0.124,same,94,
경기도,파주시,41480,대,cap_city,lower,-0.136,neutral,1997,3.3772,526004,0.987,50.9,lower,-0.2462,-0.3876,-0.1329,same,79,
경기도,파주시,41480,전,cap_city,lower,-0.6887,higher,4241,4.6667,526004,0.8901,19.6,lower,-0.6508,-0.6888,-0.5882,same,94,
경기도,이천시,41500,전,cap_city,lower,-0.3267,higher,4829,4.0271,222964,0.8813,15.1,lower,-0.2734,-0.3669,-0.1429,same,102,
경기도,안성시,41550,답,cap_city,lower,-0.3088,higher,5261,3.0779,196592,0.6719,13.4,lower,-0.2769,-0.3309,-0.2276,same,127,
경기도,안성시,41550,대,cap_city,neutral,0.0618,higher,1613,2.7503,196592,0.9888,33.7,neutral,-0.0115,-0.157,0.1299,same,73,
경기도,안성시,41550,전,cap_city,neutral,-0.006,higher,4016,3.4251,196592,0.8947,17.4,neutral,0.0215,-0.0892,0.1329,same,121,
경기도,김포시,41570,답,cap_city,lower,-0.4426,higher,2669,3.5846,484792,0.6298,24.4,lower,-0.438,-0.5331,-0.3785,same,52,
경기도,김포시,41570,대,cap_city,neutral,-0.08,lower,1377,3.1577,484792,0.9891,75.7,neutral,-0.1331,-0.3633,0.0187,same,47,
경기도,김포시,41570,전,cap_city,lower,-0.2372,higher,2677,4.1418,484792,0.9522,37.7,lower,-0.2291,-0.3321,-0.1475,same,56,
경기도,화성시,41590,답,cap_city,lower,-0.3067,neutral,361,3.2101,638208,0.8975,62.6,lower,-0.3041,-0.4099,-0.0846,same,10,
경기도,화성시,41590,대,cap_city,higher,0.4413,lower,550,3.1206,638208,0.9964,193.3,higher,0.4455,0.0671,1.1094,same,16,
경기도,화성시,41590,전,cap_city,lower,-0.1863,neutral,403,4.9554,638208,0.9529,66.0,neutral,-0.1799,-0.3048,0.0181,to_neutral,9,
경기도,화성시 만세구,41591,답,cap_city,lower,-0.5319,higher,7471,3.5609,,0.6581,18.1,lower,-0.5165,-0.5385,-0.5028,same,97,
경기도,화성시 만세구,41591,대,cap_city,lower,-0.1222,neutral,1934,2.8058,,0.9891,45.0,lower,-0.1184,-0.2479,-0.0033,same,73,
경기도,화성시 만세구,41591,전,cap_city,lower,-0.1852,higher,6754,3.7374,,0.9461,26.6,lower,-0.1506,-0.2096,-0.1051,same,104,
경기도,화성시 효행구,41593,답,cap_city,lower,-0.321,higher,1661,3.1677,,0.8405,24.2,lower,-0.3182,-0.3843,-0.2406,same,37,
경기도,화성시 효행구,41593,대,cap_city,neutral,-0.2069,neutral,560,2.8609,,1.0,84.4,neutral,0.1628,-0.4234,0.5975,same,19,
경기도,화성시 효행구,41593,전,cap_city,lower,-0.2813,higher,1648,3.4182,,0.9769,33.0,lower,-0.261,-0.3511,-0.1392,same,38,
경기도,광주시,41610,답,cap_city,lower,-0.3694,neutral,2157,4.4244,397346,0.9272,34.7,lower,-0.3183,-0.4176,-0.1471,same,58,
경기도,광주시,41610,대,cap_city,neutral,-0.1099,neutral,1256,3.3026,397346,0.9952,86.3,neutral,-0.1176,-0.2865,0.1289,same,48,
경기도,광주시,41610,전,cap_city,lower,-0.2669,higher,2827,4.611,397346,0.9717,37.5,lower,-0.2556,-0.3721,-0.0929,same,70,
경기도,양주시,41630,답,cap_city,lower,-0.3143,higher,1689,3.0159,296224,0.7389,21.1,lower,-0.2653,-0.381,-0.1579,same,42,
경기도,양주시,41630,대,cap_city,lower,-0.425,lower,1032,3.1134,296224,0.9942,65.3,lower,-0.4719,-0.5599,-0.3232,same,37,
경기도,양주시,41630,전,cap_city,lower,-0.296,neutral,2272,5.0009,296224,0.9331,28.6,lower,-0.264,-0.3813,-0.1263,same,46,
경기도,포천시,41650,답,cap_city,lower,-0.4609,higher,3698,3.2577,140452,0.5976,10.5,lower,-0.4038,-0.434,-0.3402,same,65,
경기도,포천시,41650,대,cap_city,higher,0.3306,higher,1455,3.4628,140452,0.9828,28.5,higher,0.2708,0.0124,0.5187,same,56,
경기도,포천시,41650,전,cap_city,lower,-0.4297,higher,5040,4.5685,140452,0.8734,12.1,lower,-0.3967,-0.4298,-0.3644,same,76,
경기도,여주시,41670,전,cap_city,lower,-0.2818,higher,4752,3.3949,114002,0.8885,10.9,lower,-0.2547,-0.3119,-0.1748,same,116,
경기도,연천군,41800,대,gun,lower,-0.3876,higher,687,3.6995,42340,0.9927,17.6,lower,-0.3979,-0.4918,-0.2817,same,31,
경기도,연천군,41800,전,gun,lower,-0.5385,higher,2176,5.1362,42340,0.9462,6.7,lower,-0.5256,-0.5814,-0.44,same,67,
경기도,가평군,41820,답,gun,lower,-0.3289,neutral,2089,4.0585,62125,0.8798,14.4,lower,-0.3462,-0.4248,-0.2566,same,49,
경기도,가평군,41820,대,gun,neutral,-0.0954,neutral,1266,2.9431,62125,0.9976,26.45,neutral,-0.0989,-0.2383,0.0762,same,46,
경기도,가평군,41820,전,gun,lower,-0.4548,neutral,3195,4.0258,62125,0.975,15.1,lower,-0.4548,-0.4971,-0.3976,same,59,
경기도,양평군,41830,답,gun,lower,-0.5473,higher,4836,3.9041,126933,0.6826,12.9,lower,-0.5109,-0.5493,-0.4851,same,91,
경기도,양평군,41830,대,gun,neutral,-0.0146,neutral,2204,2.3607,126933,0.9819,30.4,neutral,-0.092,-0.203,0.0557,same,78,
경기도,양평군,41830,전,gun,lower,-0.4667,higher,4930,3.3784,126933,0.9014,15.1,lower,-0.4465,-0.4943,-0.4166,same,100,
충청북도,청주시 상당구,43111,전,urban_rural,lower,-0.3607,higher,1726,3.2155,194551,0.9322,6.0,lower,-0.3036,-0.4017,-0.1667,same,62,
충청북도,청주시 서원구,43112,대,urban_rural,lower,-0.4663,neutral,508,3.4792,182689,0.998,75.45,lower,-0.521,-0.6361,-0.196,same,19,
충청북도,청주시 서원구,43112,전,urban_rural,neutral,-0.1552,higher,935,3.1299,182689,0.9775,19.7,lower,-0.1782,-0.3827,-0.0055,opposite,35,
충청북도,청주시 흥덕구,43113,대,urban_rural,neutral,-0.3982,lower,1095,2.8114,292051,0.9817,77.2,neutral,-0.4486,-0.5952,0.2256,same,30,
충청북도,청주시 흥덕구,43113,전,urban_rural,lower,-0.1716,higher,1206,3.4913,292051,0.9022,20.1,lower,-0.2128,-0.3235,-0.0737,same,42,
충청북도,청주시 청원구,43114,대,urban_rural,neutral,-0.0685,neutral,789,2.5884,186861,0.9949,35.0,neutral,-0.4296,-0.5852,0.0001,same,27,
충청북도,청주시 청원구,43114,전,urban_rural,lower,-0.3576,higher,2149,3.577,186861,0.9544,14.7,lower,-0.3512,-0.4286,-0.1926,same,66,
충청북도,충주시,43130,대,urban_rural,lower,-0.3105,higher,1540,2.5493,206540,0.9851,15.1,lower,-0.5333,-0.6339,-0.4228,same,75,
충청북도,충주시,43130,전,urban_rural,lower,-0.2453,higher,4256,3.3973,206540,0.9406,5.3,lower,-0.2593,-0.3091,-0.2019,same,115,
충청북도,제천시,43150,전,urban_rural,lower,-0.4634,higher,4140,3.5843,128003,0.9382,3.7,lower,-0.45,-0.4884,-0.3846,same,98,
충청북도,보은군,43720,대,gun,lower,-0.2556,higher,711,2.2077,30529,0.9803,6.4,lower,-0.2,-0.3944,-0.0999,same,37,
충청북도,보은군,43720,전,gun,neutral,0.0,neutral,2056,3.1091,30529,0.8619,2.8,neutral,0.0385,-0.0769,0.16,same,96,
충청북도,옥천군,43730,대,gun,neutral,-0.1412,higher,809,2.2889,49601,0.9963,8.6,neutral,-0.1092,-0.2913,0.285,same,48,
충청북도,옥천군,43730,전,gun,lower,-0.2603,higher,2895,3.1345,49601,0.9358,3.6,lower,-0.2895,-0.3591,-0.189,same,98,
충청북도,영동군,43740,대,gun,lower,-0.2165,higher,880,2.2597,43028,0.9864,5.2,lower,-0.1739,-0.375,-0.0318,same,49,
충청북도,증평군,43745,대,gun,lower,-0.6709,neutral,266,2.7742,36680,0.9925,27.45,lower,-0.4872,-0.6997,-0.1169,same,11,
충청북도,증평군,43745,전,gun,neutral,-0.0357,neutral,586,3.8267,36680,0.8857,5.9,neutral,0.0485,-0.2073,0.2667,same,16,
충청북도,진천군,43750,대,gun,neutral,-0.2277,lower,896,2.2299,86580,0.9688,18.6,neutral,-0.1959,-0.3255,0.0198,same,46,
충청북도,진천군,43750,전,gun,lower,-0.2,higher,2506,3.4319,86580,0.8958,9.1,lower,-0.1915,-0.2632,-0.0869,same,63,
충청북도,괴산군,43760,대,gun,lower,-0.25,neutral,1029,2.4948,38293,0.9845,7.9,lower,-0.2471,-0.3372,-0.0909,same,58,
충청북도,괴산군,43760,전,gun,lower,-0.2195,higher,4496,3.4312,38293,0.883,3.8,lower,-0.2195,-0.2683,-0.1795,same,106,
충청북도,음성군,43770,대,gun,lower,-0.2546,higher,1413,2.4861,73889,0.9795,13.5,lower,-0.1653,-0.3001,-0.0744,same,74,
충청북도,음성군,43770,전,gun,lower,-0.1618,higher,4825,3.3624,73889,0.9132,7.0,lower,-0.1618,-0.2286,-0.0909,same,101,
충청북도,단양군,43800,대,gun,neutral,-0.1935,higher,500,2.4494,26812,0.998,6.5,neutral,-0.1017,-0.3382,0.3935,same,34,
충청북도,단양군,43800,전,gun,lower,-0.1481,higher,2788,3.7244,26812,0.9828,2.7,lower,-0.1154,-0.2222,-0.04,same,66,
충청남도,천안시 동남구,44131,대,urban_rural,lower,-0.3541,higher,1411,3.1374,262470,0.9901,35.9,lower,-0.3416,-0.5013,-0.1629,same,58,
충청남도,천안시 동남구,44131,전,urban_rural,lower,-0.317,higher,3307,3.2573,262470,0.912,11.3,lower,-0.2714,-0.3304,-0.145,same,75,
충청남도,천안시 서북구,44133,대,urban_rural,neutral,0.1404,neutral,1173,3.141,401852,0.9974,36.5,neutral,-0.0098,-0.3295,0.5356,same,51,
충청남도,천안시 서북구,44133,전,urban_rural,lower,-0.2308,neutral,2003,3.8382,401852,0.9126,21.2,lower,-0.1827,-0.3019,-0.0765,same,52,
충청남도,공주시,44150,대,urban_rural,neutral,-0.3261,higher,1525,2.5609,99979,0.9849,13.8,lower,-0.295,-0.4726,-0.0647,opposite,74,
