sido_code,sido_name,sigungu_code,sigungu_name,land_category,region_type,n,area_p10,area_p50,area_p75,area_p90,p90_p50,n_ge_300,n_ge_500,n_ge_1000,n_ge_3000,n_ge_5000,n_dongs,dong_n_median,eligible,gate_reasons,n_tier,b_preview
12,전남광주통합특별시,12870,신안군,대,gun,1071,60.0,281.0,423.0,569.0,2.0249,497,165,12,1,1,14,66.0,True,[],better,B_ok
12,전남광주통합특별시,12870,신안군,전,gun,5193,201.0,1056.2,1754.0,2762.6,2.6156,4428,3948,2738,430,126,14,236.0,False,['p90_p50<3.0'],better,B_ok
26,부산광역시,26110,중구,대,metro_gu,110,3.27,26.7,75.5,252.94,9.4734,8,2,0,0,0,26,2.0,False,"['n<150', 'metro_width']",ok,B_skip
26,부산광역시,26140,서구,답,metro_gu,1,76.0,76.0,76.0,76.0,1.0,0,0,0,0,0,1,1.0,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26140,서구,대,metro_gu,577,3.0,31.0,73.0,156.48,5.0477,24,11,0,0,0,22,9.0,False,['metro_width'],better,B_ok
26,부산광역시,26140,서구,전,metro_gu,67,6.6,114.0,219.0,881.2,7.7298,16,13,7,0,0,8,2.0,False,['no_gate_for_type_jimok'],note,B_skip
26,부산광역시,26170,동구,답,metro_gu,1,63.0,63.0,63.0,63.0,1.0,0,0,0,0,0,1,1.0,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26170,동구,대,metro_gu,514,2.0,15.0,46.75,105.64,7.0427,12,7,3,1,1,4,123.0,False,['metro_width'],better,B_skip
26,부산광역시,26170,동구,전,metro_gu,1,174.0,174.0,174.0,174.0,1.0,0,0,0,0,0,1,1.0,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26200,영도구,답,metro_gu,18,33.9,176.0,306.25,1114.7,6.3335,5,3,2,0,0,3,5.0,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26200,영도구,대,metro_gu,271,6.6,42.8,99.4,175.0,4.0888,10,3,1,0,0,20,6.5,False,['metro_width'],good,B_skip
