building_key,pnu,elevator,ride,emgen,n_dongs,mixed,floors_above,reason
30237ea7013e0ca472ed41fcdd3fcf64896f2f49a0e66bcd140f10d1000903ca,4165036024109130008,,,,0,False,,no_housing
30324d72afe88b9853b1238e942ff3d6cbbce2d96243ac7cb36ee13c9a7e09d9,1114016200103040475,1,1,0,1,False,5,
307ae2efbe572c858df3506f384855e25cd5b18bef7920f33093af4f3ba3f6a9,5013031025135960000,,17,0,10,True,4,mixed
307c4e1f7353cd4bc9cc97daed25d2a7ae163962708277e6f8740824d6d1a5ec,4719010400102230007,0,0,0,1,False,4,
30aa23643eaaee22e58083993cd9c13352c70ad5ea468150981f0c80fbb20c81,2817710500112180008,1,1,0,1,False,4,
31203d2b71f7977592ad82eb3a9eaf188f005e374709fece892b98d616641623,4315011600108510000,0,0,0,10,False,4,
31d78a028074d591e59eb8bfb673354f9bdc0c67eb3b2ef144a95bfdb2dbcfe8,5119010500100020003,0,0,0,6,False,4,
32004de2b9785e64941a4cfe7e87274e89b9987c73d1c74cd2f2c21bca544cab,4111514000105050013,0,0,0,2,False,2,
32066f764af81d2dcd76e7a8d0252920271eb198b3145e80b8adcb1f4dad50cc,4777036030103780002,1,3,0,1,False,4,
328f94c7843a344af6fa1fc9a0e6cb02840a9e4da604094e6ce9ca9a3ec5ad82,5211313100113590001,1,23,0,11,False,4,
32bed33a1f871278c6038a637e952ba6ab82610811741bc0bead6e833a999f72,1147010200103240046,1,1,0,1,False,5,
333f3885e819bf4ef6a2c876757747921f05125e2ae35f546ceba26731c6c57a,4127310100106650000,0,0,0,6,False,4,
335d77f65e991c862db2220b5617d0e54b3a996c033ed4ea95d8734d9c2d27b4,4721010400116400003,0,0,0,2,False,4,
33c8928056c029fea49ef69ae777d7e762b19a137b3f003c08a04dac2c3ebd65,4128510300107210000,0,0,0,8,False,4,
347f304dd1d55f7fff13d26d29447ea74bd8b81e68baf9d197582549454d278a,4721010400106700000,0,0,0,4,False,4,
34ae452612e2fd44942482a83ced1b0b73794a74fd10050830237d8539180c2f,4481036026103350013,0,0,0,1,False,4,
34f34491f5b8f7c5d9a665677d8233d8a889bfe182fb973181bf0932002d8f15,1272025022107630000,1,3,0,3,False,4,
