sido_name,sigungu_name,sigungu_code,land_category,region_type,n,n_tiny,n_body,n_large,n_below_floor,area_p25,area_p75,area_p90,tiny_aux,delta_mean_large,delta_median_large,ci_lo_large,ci_hi_large,direction_large,delta_mean_tiny,delta_median_tiny,ci_lo_tiny,ci_hi_tiny,direction_tiny
경상남도,창원시 진해구,48129,전,urban_rural,398,65,198,40,35,105.25,723.75,1167.0,True,-0.3109,-0.1869,-0.5355,0.3405,neutral,0.5571,1.1113,0.0402,2.432,higher
경상남도,진주시,48170,전,urban_rural,2566,581,1282,257,61,264.75,1180.75,1851.5,True,-0.168,0.2051,0.0,0.4167,neutral,0.2724,0.2308,0.0732,0.4168,higher
경상남도,통영시,48220,답,urban_rural,977,217,486,98,31,212.0,1002.0,1618.2,True,-0.0484,-0.0234,-0.1867,0.1306,neutral,0.1229,0.1719,-0.0758,0.5238,neutral
경상남도,통영시,48220,대,urban_rural,663,121,331,67,45,39.5,241.5,417.22,True,1.2411,1.5083,0.8539,2.0418,higher,0.2251,0.3812,0.1298,0.6953,higher
경상남도,통영시,48220,전,urban_rural,1425,313,712,143,44,198.0,939.0,1568.2,True,-0.4298,-0.5,-0.6087,-0.3724,lower,0.1882,0.4833,0.1239,0.86,higher
경상남도,사천시,48240,대,urban_rural,880,186,437,88,37,63.0,362.25,592.6,True,0.7843,1.26,0.372,1.5701,higher,0.2587,0.5,0.2756,0.8223,higher
경상남도,사천시,48240,전,urban_rural,1472,320,735,148,50,179.0,863.0,1444.6,True,-0.1971,-0.1406,-0.3715,0.0398,neutral,0.4148,0.3594,0.0447,0.6557,higher
경상남도,김해시,48250,답,urban_rural,2733,469,1367,274,215,179.0,1670.0,2867.84,True,-0.5597,-0.4824,-0.5593,-0.3952,lower,0.2141,0.326,0.1865,0.5417,higher
경상남도,김해시,48250,전,urban_rural,1328,206,663,133,128,106.0,711.0,1292.6,True,-0.2834,-0.2098,-0.3538,-0.0095,lower,0.1818,0.2857,0.0267,0.5598,higher
경상남도,밀양시,48270,답,urban_rural,5305,1237,2653,531,90,448.0,2112.0,3191.74,True,-0.1875,0.0656,0.0159,0.1167,higher,0.5081,0.4098,0.3065,0.4754,higher
경상남도,밀양시,48270,대,urban_rural,1627,341,813,163,66,65.4,338.5,569.08,True,0.1832,-0.125,-0.274,0.0503,neutral,0.1611,0.0109,-0.1212,0.2262,neutral
경상남도,밀양시,48270,전,urban_rural,2598,579,1295,260,74,197.0,918.5,1511.6,True,-0.1592,-0.2289,-0.2976,-0.0918,lower,0.5306,0.3012,0.1806,0.4815,higher
경상남도,거제시,48310,답,urban_rural,2716,534,1359,272,145,197.75,1107.0,1891.0,True,-0.5607,-0.3455,-0.3968,-0.2583,lower,0.3849,0.3577,0.152,0.6292,higher
경상남도,거제시,48310,대,urban_rural,855,139,426,86,77,35.0,324.0,594.9,True,3.0938,1.8154,0.7831,9.4356,higher,0.0078,0.069,-0.0834,0.318,neutral
경상남도,거제시,48310,전,urban_rural,1696,311,848,170,113,143.75,784.0,1277.0,True,-0.3438,-0.2872,-0.4676,-0.1698,lower,0.6486,0.3979,0.2094,0.5885,higher
경상남도,양산시,48330,답,urban_rural,1968,342,984,198,150,144.75,938.25,1686.0,True,-0.3031,-0.278,-0.375,-0.1054,lower,0.5366,0.448,0.2124,0.7659,higher
경상남도,양산시,48330,대,urban_rural,871,165,436,88,53,64.0,340.3,612.0,True,0.3088,-0.0469,-0.2215,0.3371,neutral,0.0603,-0.2401,-0.3352,-0.097,lower
경상남도,양산시,48330,전,urban_rural,1165,176,581,117,117,87.0,577.0,1050.2,True,-0.3649,-0.3282,-0.5001,-0.0824,lower,0.2134,0.1517,-0.1091,0.3233,neutral
경상남도,의령군,48720,대,gun,738,174,368,75,14,112.0,377.0,526.0,True,-0.2895,-0.0455,-0.2568,0.2131,neutral,0.6122,0.3788,0.0578,0.8859,higher
경상남도,의령군,48720,전,gun,1055,253,525,106,13,278.0,1176.0,1912.2,True,-0.4142,-0.3125,-0.46,-0.1429,lower,0.3857,0.25,0.0,0.619,neutral
경상남도,함안군,48730,대,gun,883,177,438,89,49,79.0,361.0,544.8,True,-0.2453,-0.2236,-0.3992,-0.0263,lower,0.5687,0.4684,0.2116,0.7285,higher
경상남도,함안군,48730,전,gun,1645,370,822,166,42,230.0,1181.0,1947.0,True,-0.1653,-0.1429,-0.28,0.0208,neutral,0.3552,0.449,0.2451,0.6889,higher
경상남도,창녕군,48740,대,gun,1079,236,537,108,36,79.0,336.0,547.2,True,-0.2893,-0.3435,-0.4417,-0.1517,lower,0.4247,0.4174,0.2562,0.7435,higher
경상남도,고성군,48820,대,gun,919,188,459,92,42,62.5,331.5,554.12,True,-0.0478,0.0879,-0.301,0.7419,neutral,0.3788,0.3407,0.1068,0.4765,higher
경상남도,남해군,48840,대,gun,905,187,450,91,43,50.0,281.0,482.92,True,-0.0221,0.0612,-0.2429,0.648,neutral,0.1476,0.1592,-0.05,0.3036,neutral
경상남도,하동군,48850,대,gun,780,176,388,78,21,66.0,341.25,505.1,True,-0.3354,-0.3875,-0.4655,-0.2432,lower,0.7659,0.4688,0.2499,0.8092,higher
경상남도,하동군,48850,전,gun,1539,342,768,154,44,190.0,910.0,1444.4,True,-0.175,-0.0455,-0.1739,0.2143,neutral,0.2577,0.3636,0.1362,0.65,higher
경상남도,산청군,48860,대,gun,771,175,381,78,23,79.0,380.0,550.9,True,-0.0554,0.0,-0.1536,0.4344,neutral,0.1462,0.1392,-0.0241,0.4133,neutral
경상남도,산청군,48860,전,gun,1264,292,631,128,25,258.0,967.5,1650.0,True,-0.0134,0.3043,0.1189,0.7273,higher,0.2569,0.1522,-0.087,0.3182,neutral
경상남도,함양군,48870,대,gun,687,149,342,71,26,69.0,317.0,496.0,True,-0.2998,-0.2703,-0.5325,-0.1025,lower,0.5781,0.3514,0.1152,0.7032,higher
경상남도,함양군,48870,전,gun,1774,399,887,178,46,237.0,1074.0,1738.1,True,-0.4058,-0.2,-0.2857,0.0006,neutral,0.611,0.2,0.0,0.45,neutral
경상남도,거창군,48880,대,gun,895,202,447,91,22,100.0,340.1,486.0,True,-0.3206,-0.2875,-0.4512,0.0733,neutral,0.483,0.0438,-0.1685,0.2802,neutral
경상남도,거창군,48880,전,gun,2301,533,1148,231,45,301.0,1294.0,2086.0,True,-0.3865,0.1176,0.0,0.25,neutral,1.2721,0.4118,0.2778,0.7059,higher
경상남도,합천군,48890,대,gun,1045,243,518,108,23,83.0,304.0,450.0,True,-0.2921,-0.2315,-0.3571,-0.096,lower,0.5342,0.1296,0.0172,0.2746,higher
제주특별자치도,제주시,50110,전,urban_rural,6700,1473,3349,671,204,397.0,1881.0,3177.0,True,-0.4919,-0.5632,-0.5947,-0.5185,lower,0.5934,0.5895,0.5076,0.6915,higher
제주특별자치도,서귀포시,50130,대,urban_rural,956,196,477,96,44,89.0,443.45,751.85,True,-0.2152,-0.2621,-0.4055,-0.1513,lower,0.1575,-0.0484,-0.2138,0.1892,neutral
제주특별자치도,서귀포시,50130,전,urban_rural,3652,782,1826,366,131,333.75,2183.5,3787.4,True,-0.5181,-0.5711,-0.6229,-0.5247,lower,0.3774,0.297,0.1663,0.4821,higher
