통계표,계정항목,단위,변환,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 p)
"2.1.1.1. 주요지표(연간지표)","    민간","%","원자료","28.1","26.8","27.1","27.8","28.3","29.6","29.4","29.1","27.7","27.6","32.4","31.7","29.0","28.6","31.6","32.2"
"2.1.1.1. 주요지표(연간지표)","    (가계 및 비영리단체)","%","원자료","4.8","4.4","4.7","5.3","6.1","7.5","6.8","5.9","5.8","6.8","10.6","8.9","7.5","7.6","8.4","8.4"
"2.1.1.1. 주요지표(연간지표)","    (기업)","%","원자료","23.2","22.4","22.4","22.5","22.2","22.0","22.6","23.2","21.9","20.8","21.8","22.8","21.5","21.0","23.2","23.8"
"2.1.1.1. 주요지표(연간지표)","    정부","%","원자료","7.1","7.5","7.1","6.7","6.3","6.3","7.0","7.4","7.7","6.6","3.3","4.8","5.1","4.3","3.1","2.9"
"2.1.1.1. 주요지표(연간지표)","  국내총투자율","%","원자료","32.9","33.2","31.0","29.8","29.7","29.3","30.0","31.9","31.2","31.0","31.3","32.3","33.2","31.3","29.5","28.6"
"2.1.1.1. 주요지표(연간지표)","  (국내총고정투자율)","%","원자료","30.5","30.5","29.6","29.1","29.1","29.2","29.8","31.7","30.5","30.0","30.8","31.2","31.5","31.1","29.9","28.1"
"2.1.1.1. 주요지표(연간지표)","  (가계순저축률)","%","원자료","2.7","2.1","2.6","3.7","5.0","7.5","6.5","5.0","4.8","6.2","11.9","9.5","7.1","7.0","8.5","8.6"
"2.1.1.1. 주요지표(연간지표)","수출입의 대 GNI 비율(명목)","%","원자료","91.9","105.0","104.3","97.2","90.0","78.1","72.8","76.1","78.1","74.9","68.6","79.8","95.2","87.1","90.1","91.5"
"2.1.1.1. 주요지표(연간지표)","  총수출","%","원자료","47.3","53.2","53.9","51.0","47.5","42.5","39.7","40.5","41.3","39.2","36.6","42.1","48.2","44.5","47.8","49.2"
"2.1.1.1. 주요지표(연간지표)","  (재화)","%","원자료","39.6","45.5","45.6","43.4","39.9","35.6","32.9","34.2","34.5","31.6","29.6","33.4","38.0","34.2","36.8","37.7"
"2.1.1.1. 주요지표(연간지표)","  (서비스)","%","원자료","5.6","5.5","5.9","5.6","5.7","5.3","5.1","4.5","4.8","5.2","4.7","5.9","6.9","6.6","7.2","7.6"
"2.1.1.1. 주요지표(연간지표)","  총수입","%","원자료","44.6","51.7","50.4","46.2","42.4","35.6","33.1","35.6","36.8","35.7","32.1","37.7","47.1","42.6","42.3","42.3"
"2.1.1.1. 주요지표(연간지표)","  (재화)","%","원자료","35.1","42.8","41.5","37.6","34.0","27.4","24.9","27.1","28.2","27.0","24.8","29.4","37.2","32.0","31.1","30.4"
"2.1.1.1. 주요지표(연간지표)","  (서비스)","%","원자료","7.6","7.3","7.5","7.1","6.9","6.9","6.8","7.1","6.9","7.1","5.8","6.5","7.7","8.3","8.8","9.5"
"2.1.1.1. 주요지표(연간지표)","GDP 디플레이터","2020=100","원자료","87.460","88.575","89.719","90.686","91.639","94.598","96.549","98.498","99.056","98.438","100.000","103.182","104.975","106.970","111.484","115.063"
"2.1.1.1. 주요지표(연간지표)","  (등락률)","%","원자료","2.7","1.3","1.3","1.1","1.1","3.2","2.1","2.0","0.6","-0.6","1.6","3.2","1.7","1.9","4.2","3.2"
