change_type,historical_code,historical_name,historical_status,canonical_code,canonical_name,canonical_candidates,rationale,in_region_codes,region_codes_active,region_codes_eup_name,tx_count_historical,tx_count_canonical,stats_v2_historical,stats_v2_canonical,exemplar,notes
code_reissue,4159025931,경기도 화성시 향남읍 요리,폐지,4159125331,경기도 화성시 만세구 향남읍 요리,4159125331|경기도 화성시 만세구 향남읍 요리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '요리'), 시군구 41590→41591, 코드 4159025931→4159125331",True,True,향남읍,757,0,266,0,,
code_reissue,4159025932,경기도 화성시 향남읍 수직리,폐지,4159125332,경기도 화성시 만세구 향남읍 수직리,4159125332|경기도 화성시 만세구 향남읍 수직리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '수직리'), 시군구 41590→41591, 코드 4159025932→4159125332",True,True,향남읍,652,0,228,0,,
code_reissue,4159025933,경기도 화성시 향남읍 갈천리,폐지,4159125333,경기도 화성시 만세구 향남읍 갈천리,4159125333|경기도 화성시 만세구 향남읍 갈천리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '갈천리'), 시군구 41590→41591, 코드 4159025933→4159125333",True,True,향남읍,416,0,215,0,,
code_reissue,4159025934,경기도 화성시 향남읍 증거리,폐지,4159125334,경기도 화성시 만세구 향남읍 증거리,4159125334|경기도 화성시 만세구 향남읍 증거리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '증거리'), 시군구 41590→41591, 코드 4159025934→4159125334",True,True,향남읍,1650,0,384,0,,
code_reissue,4159025935,경기도 화성시 향남읍 송곡리,폐지,4159125335,경기도 화성시 만세구 향남읍 송곡리,4159125335|경기도 화성시 만세구 향남읍 송곡리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '송곡리'), 시군구 41590→41591, 코드 4159025935→4159125335",True,True,향남읍,1513,0,276,0,,
code_reissue,4159025936,경기도 화성시 향남읍 동오리,폐지,4159125336,경기도 화성시 만세구 향남읍 동오리,4159125336|경기도 화성시 만세구 향남읍 동오리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '동오리'), 시군구 41590→41591, 코드 4159025936→4159125336",True,True,향남읍,4068,0,515,0,,
code_reissue,4159025937,경기도 화성시 향남읍 관리,폐지,4159125337,경기도 화성시 만세구 향남읍 관리,4159125337|경기도 화성시 만세구 향남읍 관리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '관리'), 시군구 41590→41591, 코드 4159025937→4159125337",True,True,향남읍,598,0,312,0,,
code_reissue,4159025938,경기도 화성시 향남읍 도이리,폐지,4159125338,경기도 화성시 만세구 향남읍 도이리,4159125338|경기도 화성시 만세구 향남읍 도이리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '도이리'), 시군구 41590→41591, 코드 4159025938→4159125338",True,True,향남읍,1749,0,613,0,,
code_reissue,4159025939,경기도 화성시 향남읍 행정리,폐지,4159125339,경기도 화성시 만세구 향남읍 행정리,4159125339|경기도 화성시 만세구 향남읍 행정리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '행정리'), 시군구 41590→41591, 코드 4159025939→4159125339",True,True,향남읍,879,0,337,0,,
code_reissue,4159025940,경기도 화성시 향남읍 방축리,폐지,4159125340,경기도 화성시 만세구 향남읍 방축리,4159125340|경기도 화성시 만세구 향남읍 방축리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '방축리'), 시군구 41590→41591, 코드 4159025940→4159125340",True,True,향남읍,4237,0,301,0,,
