historical_code,canonical_code,historical_name,canonical_name,tx_count_historical,tx_count_db,mapping_ok,action,exemplar
4159035023,4159133023,경기도 화성시 서신면 광평리,경기도 화성시 만세구 서신면 광평리,806,806,True,already_present,
4159035024,4159133024,경기도 화성시 서신면 장외리,경기도 화성시 만세구 서신면 장외리,1584,1584,True,already_present,
4159035025,4159133025,경기도 화성시 서신면 송교리,경기도 화성시 만세구 서신면 송교리,2154,2154,True,already_present,
4159035026,4159133026,경기도 화성시 서신면 제부리,경기도 화성시 만세구 서신면 제부리,606,606,True,already_present,
4159035027,4159133027,경기도 화성시 서신면 홍법리,경기도 화성시 만세구 서신면 홍법리,1265,1265,True,already_present,
4159035029,4159133028,경기도 화성시 서신면 매화리,경기도 화성시 만세구 서신면 매화리,1884,1884,True,already_present,
4159035030,4159133029,경기도 화성시 서신면 용두리,경기도 화성시 만세구 서신면 용두리,1114,1114,True,already_present,
4159035031,4159133030,경기도 화성시 서신면 궁평리,경기도 화성시 만세구 서신면 궁평리,1844,1844,True,already_present,
4159035032,4159133031,경기도 화성시 서신면 백미리,경기도 화성시 만세구 서신면 백미리,1191,1191,True,already_present,
4159035033,4159133032,경기도 화성시 서신면 사곶리,경기도 화성시 만세구 서신면 사곶리,762,762,True,already_present,
4159036021,4159134021,경기도 화성시 팔탄면 하저리,경기도 화성시 만세구 팔탄면 하저리,1121,1121,True,already_present,
4159036022,4159134022,경기도 화성시 팔탄면 창곡리,경기도 화성시 만세구 팔탄면 창곡리,1157,1157,True,already_present,
4159036023,4159134023,경기도 화성시 팔탄면 기천리,경기도 화성시 만세구 팔탄면 기천리,1741,1741,True,already_present,
4159036024,4159134024,경기도 화성시 팔탄면 가재리,경기도 화성시 만세구 팔탄면 가재리,1385,1385,True,already_present,
4159036025,4159134025,경기도 화성시 팔탄면 구장리,경기도 화성시 만세구 팔탄면 구장리,2040,2040,True,already_present,
4159036026,4159134026,경기도 화성시 팔탄면 율암리,경기도 화성시 만세구 팔탄면 율암리,2957,2957,True,already_present,
4159036027,4159134027,경기도 화성시 팔탄면 노하리,경기도 화성시 만세구 팔탄면 노하리,1564,1564,True,already_present,
4159036028,4159134028,경기도 화성시 팔탄면 덕천리,경기도 화성시 만세구 팔탄면 덕천리,898,898,True,already_present,
4159036029,4159134029,경기도 화성시 팔탄면 지월리,경기도 화성시 만세구 팔탄면 지월리,518,518,True,already_present,
4159036030,4159134030,경기도 화성시 팔탄면 덕우리,경기도 화성시 만세구 팔탄면 덕우리,1788,1788,True,already_present,
4159036031,4159134031,경기도 화성시 팔탄면 서근리,경기도 화성시 만세구 팔탄면 서근리,2224,2224,True,already_present,
4159036032,4159134032,경기도 화성시 팔탄면 월문리,경기도 화성시 만세구 팔탄면 월문리,1038,1038,True,already_present,
4159036033,4159134033,경기도 화성시 팔탄면 화당리,경기도 화성시 만세구 팔탄면 화당리,1081,1081,True,already_present,
4159036034,4159134034,경기도 화성시 팔탄면 고주리,경기도 화성시 만세구 팔탄면 고주리,913,913,True,already_present,
4159036035,4159134035,경기도 화성시 팔탄면 매곡리,경기도 화성시 만세구 팔탄면 매곡리,182,182,True,already_present,
4159036036,4159134036,경기도 화성시 팔탄면 해창리,경기도 화성시 만세구 팔탄면 해창리,908,908,True,already_present,
4159037021,4159135021,경기도 화성시 장안면 어은리,경기도 화성시 만세구 장안면 어은리,1826,1826,True,already_present,
4159037022,4159135022,경기도 화성시 장안면 석포리,경기도 화성시 만세구 장안면 석포리,6285,6285,True,already_present,
4159037023,4159135023,경기도 화성시 장안면 수촌리,경기도 화성시 만세구 장안면 수촌리,5702,5702,True,already_present,
4159037024,4159135024,경기도 화성시 장안면 독정리,경기도 화성시 만세구 장안면 독정리,3824,3824,True,already_present,
4159037025,4159135025,경기도 화성시 장안면 장안리,경기도 화성시 만세구 장안면 장안리,2583,2583,True,already_present,
4159037026,4159135026,경기도 화성시 장안면 덕다리,경기도 화성시 만세구 장안면 덕다리,849,849,True,already_present,
4159037027,4159135027,경기도 화성시 장안면 사랑리,경기도 화성시 만세구 장안면 사랑리,1491,1491,True,already_present,
4159037028,4159135028,경기도 화성시 장안면 금의리,경기도 화성시 만세구 장안면 금의리,1787,1787,True,already_present,
4159037029,4159135029,경기도 화성시 장안면 사곡리,경기도 화성시 만세구 장안면 사곡리,2175,2175,True,already_present,
4159037030,4159135030,경기도 화성시 장안면 노진리,경기도 화성시 만세구 장안면 노진리,1383,1383,True,already_present,
4159040021,4159136021,경기도 화성시 양감면 신왕리,경기도 화성시 만세구 양감면 신왕리,1682,1682,True,already_present,
4159040022,4159136022,경기도 화성시 양감면 사창리,경기도 화성시 만세구 양감면 사창리,3681,3681,True,already_present,
4159040023,4159136023,경기도 화성시 양감면 정문리,경기도 화성시 만세구 양감면 정문리,1176,1176,True,already_present,
4159040024,4159136024,경기도 화성시 양감면 송산리,경기도 화성시 만세구 양감면 송산리,1534,1534,True,already_present,
4159040025,4159136025,경기도 화성시 양감면 용소리,경기도 화성시 만세구 양감면 용소리,1299,1299,True,already_present,
4159040026,4159136026,경기도 화성시 양감면 요당리,경기도 화성시 만세구 양감면 요당리,1275,1275,True,already_present,
4159040027,4159136027,경기도 화성시 양감면 대양리,경기도 화성시 만세구 양감면 대양리,1816,1816,True,already_present,
4159041021,4159333021,경기도 화성시 정남면 발산리,경기도 화성시 효행구 정남면 발산리,381,381,True,already_present,
4159041022,4159333022,경기도 화성시 정남면 괘랑리,경기도 화성시 효행구 정남면 괘랑리,1337,1337,True,already_present,
4159041023,4159333023,경기도 화성시 정남면 보통리,경기도 화성시 효행구 정남면 보통리,1353,1353,True,already_present,
4159041024,4159333024,경기도 화성시 정남면 관항리,경기도 화성시 효행구 정남면 관항리,688,688,True,already_present,
